text_id,dateiname,fehlertyp,untertyp_fehler,satz_einfacher_text,kommentar
3,03_cholesterin,einfache Sprache Regelfehler,bildhafte Sprache,"Die Wissenschaftler sind am Ball, um Krankheiten besser behandeln zu können.",
4,04_mars,einfache Sprache Regelfehler,bildhafte Sprache,Neue Forschungsergebnisse sorgen für hitzige Diskussionen unter Wissenschaftlern.,
4,04_mars,einfache Sprache Regelfehler,bildhafte Sprache,"Vielleicht gab es regional unterschiedliche Bedingungen – einige Orte könnten durchaus flüssige Gewässer beherbergt haben, während an anderen Stellen das Eis regierte.",
5,05_mathe,einfache Sprache Regelfehler,bildhafte Sprache,Computerprogramm knackt schwieriges Mathematikrätsel,
6,06_batterie,einfache Sprache Regelfehler,bildhafte Sprache,"Es war so, als ob sie eine Nadel in einem Heuhaufen suchen würden.",
6,06_batterie,einfache Sprache Regelfehler,bildhafte Sprache,"Mit Computern, die selbst lernen können, können sie viel schneller gute Lösungen finden.",
10,10_neandertaler,einfache Sprache Regelfehler,bildhafte Sprache,Forscherinnen und Forscher um Krist Vaesen von der TU Eindhoven haben das genau unter die Lupe genommen.,
12,12_eismond,einfache Sprache Regelfehler,bildhafte Sprache,"Forscher aus Berlin haben das Eis genauer unter die Lupe genommen, das einen Ring um Saturn bildet – den E-Ring.",
13,13_neutrinos,einfache Sprache Regelfehler,bildhafte Sprache, Aber es bleibt ein Funken Hoffnung. ,
18,18_neutrinos,einfache Sprache Regelfehler,bildhafte Sprache,Der Stern hat keinen Brennstoff mehr und sollte eigentlich ohne viel Aufsehen dunkel werden.,
1,01_parkinson,einfache Sprache Regelfehler,gleiche Begriffe,"Jetzt gibt es eine Computer-Hilfe, die das nutzen kann.",KI ist ein eigentsändiger Begriff
6,06_batterie,einfache Sprache Regelfehler,gleiche Begriffe,"Ein neues Material für Akkus wurde von Forschern gefunden. Sie benutzten dafür Computer, die selbst lernen können.",KI als selbstlernende Computer
6,06_batterie,einfache Sprache Regelfehler,gleiche Begriffe," Die Forscher haben Computer benutzt, die lernen können. ",KI als selbstlernende Computer
6,06_batterie,einfache Sprache Regelfehler,gleiche Begriffe,Aber mit den lernenden Computern hat es nur neun Monate gedauert. ,KI als selbstlernende Computer
9,09_mond,einfache Sprache Regelfehler,gleiche Begriffe,"Diese Erkenntnisse sind sehr wertvoll, besonders für Raumfahrer, ",Es wird zwischen Astronaut und Raumfahrer gewechselt
13,13_neutrinos,einfache Sprache Regelfehler,gleiche Begriffe, Neutrinos ändern sich nämlich immer wieder in andere Arten von Neutrinos. ,Hier sollte man bei Sorte bleiben
14,14_kunststoffe,einfache Sprache Regelfehler,gleiche Begriffe,In einigen Kunststoffprodukten finden sich bis zu 400 verschiedene Chemikalien.,Kunststoff und Plastik
14,14_kunststoffe,einfache Sprache Regelfehler,gleiche Begriffe,"Forscher aus der Stadt Trondheim in Norwegen haben herausgefunden, dass in Kunststoffen über 4200 chemische Substanzen enthalten sein können, die vielleicht schädlich sind.","Leichte Sprache Fehler oder Einfache Sprache Fehler - wenn shon, dann immer Chemikalien
"
2,02_darmbakterien,einfache Sprache Regelfehler,Konjunktiv,"Und die Darmbakterien könnten uns wertvolle Hinweise geben, wie die Leber heilt. ",
4,04_mars,einfache Sprache Regelfehler,Konjunktiv,"Die neuen Erkenntnisse lassen vermuten, dass der Mars früher kühler war und von Eisflächen bedeckt sein könnte – ein Bild, das eher an die heutige kanadische Insel Devon Island erinnert als an eine wasserreiche Marswelt.",
4,04_mars,einfache Sprache Regelfehler,Konjunktiv,"Gletscherschmelzwasser, verursacht durch Vulkanaktivität, Meteoriteneinschläge oder die wechselnden Jahreszeiten, könnte die Täler geformt haben, die wir heute beobachten.","Müsste hier nicht könnten, also Plural stehen? aber wie wäre es , um den Konjunktiv zu vermeiden mit : waren vivielleicht der Grund, dies könnte grundsätzlich ein guter Baustein sein, um textlich den Konjunktiv zu minimieren."
